Water_Level,Flooded_Percentage,Flood_Volume,Maximum_Depth,Average_Depth
40,22.0,9110911.929246007,10.0,4.601470671336367
41,24.02,11184627.114084588,11.0,5.173756644502076
42,26.009999999999998,13440179.801933303,12.0,5.741458328819387
43,27.76,15859658.980076607,13.0,6.34792626484014
44,29.54,18438393.654748257,14.0,6.935377136368109
45,31.11,21161716.767441355,15.0,7.558025917868978
46,32.48,24022425.66961274,16.0,8.217852240562651
47,34.04,27017420.897217155,17.0,8.818847400841218
48,35.47,30144182.909865256,18.0,9.442778845930913
49,37.12,33403155.888573978,19.0,9.998550014539624
50,38.65,36810665.63083897,20.0,10.582338833071429
