Rainfall,Curve_Number,Retention,Initial_Abstraction,Runoff
10.0,60.0,169.3333,33.8667,0.0
20.0,60.0,169.3333,33.8667,0.0
30.0,60.0,169.3333,33.8667,0.0
40.0,60.0,169.3333,33.8667,0.2144
50.0,60.0,169.3333,33.8667,1.4034
75.0,60.0,169.3333,33.8667,8.039
100.0,60.0,169.3333,33.8667,18.5743
10.0,70.0,108.8571,21.7714,0.0
20.0,70.0,108.8571,21.7714,0.0
30.0,70.0,108.8571,21.7714,0.5783
40.0,70.0,108.8571,21.7714,2.6146
50.0,70.0,108.8571,21.7714,5.8128
75.0,70.0,108.8571,21.7714,17.4801
100.0,70.0,108.8571,21.7714,32.7107
10.0,80.0,63.5,12.7,0.0
20.0,80.0,63.5,12.7,0.7527
30.0,80.0,63.5,12.7,3.7041
40.0,80.0,63.5,12.7,8.208
50.0,80.0,63.5,12.7,13.8025
75.0,80.0,63.5,12.7,30.8529
100.0,80.0,63.5,12.7,50.5391
10.0,90.0,28.2222,5.6444,0.5823
20.0,90.0,28.2222,5.6444,4.8401
30.0,90.0,28.2222,5.6444,11.2822
40.0,90.0,28.2222,5.6444,18.8614
50.0,90.0,28.2222,5.6444,27.1077
75.0,90.0,28.2222,5.6444,49.296
100.0,90.0,28.2222,5.6444,72.6312
10.0,100.0,0.0,0.0,10.0
20.0,100.0,0.0,0.0,20.0
30.0,100.0,0.0,0.0,30.0
40.0,100.0,0.0,0.0,40.0
50.0,100.0,0.0,0.0,50.0
75.0,100.0,0.0,0.0,75.0
100.0,100.0,0.0,0.0,100.0
