2026-06-03 00:35:28 | Shanghai | 26.69 mm/h | RED
2026-06-03 00:35:38 | Shenzhen | 33.85 mm/h | RED
2026-06-03 00:35:43 | Beijing | 20.49 mm/h | RED
2026-06-03 00:35:43 | Shanghai | 22.28 mm/h | RED
2026-06-03 00:35:54 | Wuhan | 21.08 mm/h | RED
2026-06-03 00:35:55 | Guangzhou | 23.85 mm/h | RED
2026-06-03 00:35:58 | Shanghai | 20.61 mm/h | RED
2026-06-03 00:35:59 | Guangzhou | 99.08 mm/h | RED
2026-06-03 00:36:01 | Wuhan | 28.90 mm/h | RED
2026-06-03 00:36:06 | Shanghai | 34.34 mm/h | RED
2026-06-03 00:36:17 | Beijing | 49.00 mm/h | RED
2026-06-03 00:36:25 | Shanghai | 42.22 mm/h | RED
2026-06-03 00:36:26 | Wuhan | 21.24 mm/h | RED
2026-06-03 00:36:28 | Guangzhou | 23.13 mm/h | RED
2026-06-03 00:36:29 | Guangzhou | 25.79 mm/h | RED
2026-06-03 00:36:29 | Shanghai | 23.09 mm/h | RED
2026-06-03 00:36:31 | Wuhan | 20.45 mm/h | RED
2026-06-03 00:36:32 | Shanghai | 32.10 mm/h | RED
2026-06-03 00:36:35 | Shenzhen | 27.04 mm/h | RED
2026-06-03 00:36:36 | Wuhan | 20.58 mm/h | RED
2026-06-03 00:36:39 | Wuhan | 30.04 mm/h | RED
2026-06-03 00:36:39 | Shanghai | 24.26 mm/h | RED
2026-06-03 00:36:41 | Shenzhen | 20.69 mm/h | RED
2026-06-03 00:36:42 | Shenzhen | 34.19 mm/h | RED
2026-06-03 00:36:48 | Guangzhou | 37.23 mm/h | RED
2026-06-03 00:36:49 | Wuhan | 28.22 mm/h | RED
2026-06-03 00:36:54 | Wuhan | 42.57 mm/h | RED
2026-06-03 00:36:58 | Shanghai | 22.12 mm/h | RED
2026-06-03 00:37:02 | Wuhan | 27.82 mm/h | RED
2026-06-03 00:37:04 | Shenzhen | 48.98 mm/h | RED
2026-06-03 00:37:05 | Shenzhen | 23.54 mm/h | RED
2026-06-03 00:37:05 | Shenzhen | 28.87 mm/h | RED
2026-06-03 00:37:07 | Beijing | 25.35 mm/h | RED
2026-06-03 00:37:07 | Shanghai | 21.79 mm/h | RED
2026-06-03 00:37:12 | Shenzhen | 22.22 mm/h | RED
2026-06-03 00:37:12 | Shenzhen | 24.37 mm/h | RED
2026-06-03 00:37:13 | Beijing | 50.02 mm/h | RED
2026-06-03 00:37:14 | Beijing | 30.72 mm/h | RED
2026-06-03 00:37:16 | Shenzhen | 20.26 mm/h | RED
2026-06-03 00:37:17 | Shenzhen | 24.64 mm/h | RED
2026-06-03 00:37:21 | Guangzhou | 40.57 mm/h | RED
2026-06-03 00:37:28 | Guangzhou | 33.25 mm/h | RED
2026-06-03 00:37:32 | Wuhan | 30.14 mm/h | RED
2026-06-03 00:37:42 | Guangzhou | 22.04 mm/h | RED
2026-06-03 00:37:43 | Wuhan | 42.49 mm/h | RED
2026-06-03 00:37:45 | Beijing | 21.96 mm/h | RED
2026-06-03 00:37:45 | Shenzhen | 20.02 mm/h | RED
2026-06-03 00:37:46 | Guangzhou | 22.01 mm/h | RED
2026-06-03 00:37:46 | Shenzhen | 28.61 mm/h | RED
2026-06-03 00:37:46 | Guangzhou | 56.02 mm/h | RED
2026-06-03 00:37:51 | Guangzhou | 30.23 mm/h | RED
2026-06-03 00:37:53 | Beijing | 24.04 mm/h | RED
2026-06-03 00:37:56 | Beijing | 20.75 mm/h | RED
2026-06-03 00:37:59 | Shenzhen | 41.11 mm/h | RED
2026-06-03 00:38:00 | Guangzhou | 20.39 mm/h | RED
2026-06-03 00:38:03 | Beijing | 37.87 mm/h | RED
2026-06-03 00:38:06 | Wuhan | 75.22 mm/h | RED
2026-06-03 00:38:23 | Shanghai | 22.41 mm/h | RED
2026-06-03 00:38:28 | Guangzhou | 72.91 mm/h | RED
2026-06-03 00:38:36 | Guangzhou | 33.01 mm/h | RED
2026-06-03 00:38:36 | Wuhan | 23.94 mm/h | RED
2026-06-03 00:38:37 | Wuhan | 24.88 mm/h | RED
2026-06-03 00:38:39 | Guangzhou | 25.48 mm/h | RED
2026-06-03 00:38:50 | Shenzhen | 23.86 mm/h | RED
2026-06-03 00:38:56 | Shenzhen | 21.92 mm/h | RED
2026-06-03 00:38:58 | Wuhan | 20.84 mm/h | RED
2026-06-03 00:39:04 | Shenzhen | 28.21 mm/h | RED
2026-06-03 00:39:07 | Guangzhou | 21.52 mm/h | RED
2026-06-03 00:39:12 | Shanghai | 23.65 mm/h | RED
2026-06-03 00:39:13 | Shenzhen | 68.11 mm/h | RED
2026-06-03 00:39:13 | Shenzhen | 22.77 mm/h | RED
2026-06-03 00:39:32 | Guangzhou | 21.68 mm/h | RED
2026-06-03 00:39:32 | Wuhan | 21.09 mm/h | RED
2026-06-03 00:39:33 | Guangzhou | 22.32 mm/h | RED
2026-06-03 00:39:36 | Guangzhou | 21.39 mm/h | RED
2026-06-03 00:39:39 | Beijing | 33.10 mm/h | RED
2026-06-03 00:39:40 | Shanghai | 22.85 mm/h | RED
2026-06-03 00:39:42 | Wuhan | 24.17 mm/h | RED
2026-06-03 00:39:42 | Wuhan | 30.55 mm/h | RED
2026-06-03 00:39:44 | Wuhan | 23.79 mm/h | RED
2026-06-03 00:39:48 | Shenzhen | 21.02 mm/h | RED
2026-06-03 00:39:48 | Beijing | 31.83 mm/h | RED
2026-06-03 00:39:49 | Wuhan | 20.90 mm/h | RED
2026-06-03 00:39:51 | Wuhan | 31.78 mm/h | RED
2026-06-03 00:39:52 | Wuhan | 32.15 mm/h | RED
2026-06-03 00:39:54 | Shanghai | 32.37 mm/h | RED
2026-06-03 00:39:59 | Shenzhen | 21.09 mm/h | RED
2026-06-03 00:40:00 | Shenzhen | 37.32 mm/h | RED
2026-06-03 00:40:04 | Beijing | 23.27 mm/h | RED
2026-06-03 00:40:11 | Shenzhen | 20.19 mm/h | RED
2026-06-03 00:40:23 | Beijing | 22.66 mm/h | RED
2026-06-03 00:40:27 | Wuhan | 29.77 mm/h | RED
2026-06-03 00:40:28 | Shanghai | 21.41 mm/h | RED
2026-06-03 00:40:28 | Shanghai | 23.75 mm/h | RED
2026-06-03 00:40:35 | Shenzhen | 22.48 mm/h | RED
2026-06-03 00:40:36 | Wuhan | 61.33 mm/h | RED
2026-06-03 00:40:36 | Beijing | 20.79 mm/h | RED
2026-06-03 00:40:38 | Wuhan | 20.27 mm/h | RED
2026-06-03 00:40:41 | Shenzhen | 25.93 mm/h | RED
2026-06-03 00:40:41 | Shenzhen | 34.98 mm/h | RED
2026-06-03 00:40:43 | Wuhan | 20.74 mm/h | RED
2026-06-03 00:40:47 | Wuhan | 22.27 mm/h | RED
2026-06-03 00:40:50 | Beijing | 25.24 mm/h | RED
2026-06-03 00:40:51 | Shanghai | 34.82 mm/h | RED
2026-06-03 00:40:58 | Guangzhou | 38.21 mm/h | RED
2026-06-03 00:41:01 | Beijing | 25.48 mm/h | RED
2026-06-03 00:41:02 | Beijing | 39.55 mm/h | RED
2026-06-03 00:41:12 | Shanghai | 23.19 mm/h | RED
2026-06-03 00:41:50 | Beijing | 35.85 mm/h | RED
2026-06-03 00:41:53 | Wuhan | 79.12 mm/h | RED
2026-06-03 00:42:06 | Wuhan | 31.54 mm/h | RED
2026-06-03 00:42:07 | Guangzhou | 29.10 mm/h | RED
2026-06-03 00:42:08 | Shanghai | 22.99 mm/h | RED
2026-06-03 00:42:09 | Guangzhou | 20.43 mm/h | RED
2026-06-03 00:42:14 | Beijing | 21.55 mm/h | RED
2026-06-03 00:42:16 | Beijing | 21.31 mm/h | RED
2026-06-03 00:42:16 | Beijing | 23.47 mm/h | RED
2026-06-03 00:42:17 | Beijing | 35.70 mm/h | RED
2026-06-03 00:42:20 | Guangzhou | 25.71 mm/h | RED
2026-06-03 00:42:21 | Guangzhou | 47.02 mm/h | RED
2026-06-03 00:42:23 | Shenzhen | 29.29 mm/h | RED
2026-06-03 00:42:27 | Shenzhen | 30.38 mm/h | RED
2026-06-03 00:42:36 | Beijing | 28.92 mm/h | RED
2026-06-03 00:42:42 | Guangzhou | 20.69 mm/h | RED
2026-06-03 00:42:44 | Wuhan | 46.95 mm/h | RED
2026-06-03 00:42:49 | Beijing | 23.39 mm/h | RED
2026-06-03 00:42:50 | Beijing | 23.72 mm/h | RED
2026-06-03 00:42:59 | Shanghai | 41.35 mm/h | RED
2026-06-03 00:43:02 | Guangzhou | 33.89 mm/h | RED
2026-06-03 00:43:02 | Shenzhen | 79.45 mm/h | RED
2026-06-03 00:43:08 | Guangzhou | 22.38 mm/h | RED
2026-06-03 00:43:10 | Shenzhen | 23.04 mm/h | RED
2026-06-03 00:43:11 | Shenzhen | 25.71 mm/h | RED
2026-06-03 00:43:16 | Shenzhen | 30.06 mm/h | RED
2026-06-03 00:43:17 | Shenzhen | 40.08 mm/h | RED
2026-06-03 00:43:20 | Shenzhen | 20.00 mm/h | RED
2026-06-03 00:43:21 | Shenzhen | 23.02 mm/h | RED
2026-06-03 00:43:28 | Beijing | 24.73 mm/h | RED
2026-06-03 00:43:47 | Wuhan | 51.35 mm/h | RED
2026-06-03 00:43:50 | Wuhan | 28.09 mm/h | RED
2026-06-03 00:43:50 | Beijing | 21.87 mm/h | RED
2026-06-03 00:43:52 | Shanghai | 27.24 mm/h | RED
2026-06-03 00:43:56 | Guangzhou | 21.40 mm/h | RED
2026-06-03 00:43:59 | Guangzhou | 25.44 mm/h | RED
2026-06-03 00:44:13 | Wuhan | 22.77 mm/h | RED
2026-06-03 00:44:14 | Guangzhou | 22.80 mm/h | RED
2026-06-03 00:44:14 | Wuhan | 28.23 mm/h | RED
2026-06-03 00:44:18 | Beijing | 33.72 mm/h | RED
2026-06-03 00:44:24 | Shenzhen | 22.98 mm/h | RED
2026-06-03 00:44:27 | Wuhan | 43.50 mm/h | RED
2026-06-03 00:44:48 | Shanghai | 23.54 mm/h | RED
2026-06-03 00:44:54 | Guangzhou | 28.84 mm/h | RED
2026-06-03 00:44:55 | Shanghai | 26.49 mm/h | RED
2026-06-03 00:45:00 | Shanghai | 28.17 mm/h | RED
2026-06-03 00:45:06 | Shenzhen | 27.49 mm/h | RED
2026-06-03 00:45:43 | Shenzhen | 24.79 mm/h | RED
2026-06-03 00:45:43 | Shenzhen | 31.72 mm/h | RED
2026-06-03 00:45:52 | Beijing | 24.44 mm/h | RED
2026-06-03 00:45:55 | Beijing | 33.89 mm/h | RED
2026-06-03 00:45:58 | Wuhan | 20.47 mm/h | RED
2026-06-03 00:45:59 | Beijing | 20.75 mm/h | RED
2026-06-03 00:46:01 | Shenzhen | 20.50 mm/h | RED
2026-06-03 00:46:02 | Shanghai | 20.17 mm/h | RED
2026-06-03 00:46:02 | Shenzhen | 26.94 mm/h | RED
2026-06-03 00:46:03 | Wuhan | 26.60 mm/h | RED
2026-06-03 00:46:03 | Wuhan | 34.28 mm/h | RED
2026-06-03 00:46:13 | Beijing | 31.69 mm/h | RED
2026-06-03 00:46:14 | Shenzhen | 20.40 mm/h | RED
2026-06-03 00:46:16 | Beijing | 27.25 mm/h | RED
2026-06-03 00:46:18 | Shanghai | 22.44 mm/h | RED
2026-06-03 00:46:19 | Shenzhen | 21.45 mm/h | RED
2026-06-03 00:46:21 | Beijing | 26.82 mm/h | RED
2026-06-03 00:46:22 | Shenzhen | 61.18 mm/h | RED
2026-06-03 00:46:24 | Shenzhen | 28.51 mm/h | RED
2026-06-03 00:46:26 | Guangzhou | 43.53 mm/h | RED
2026-06-03 00:46:28 | Beijing | 21.04 mm/h | RED
2026-06-03 00:46:28 | Guangzhou | 27.89 mm/h | RED
2026-06-03 00:47:54 | Shenzhen | 23.62 mm/h | RED
2026-06-03 00:47:56 | Wuhan | 21.30 mm/h | RED
